country_code,gdp_per_capita
AF,17233051620.0
AL,23547179830.0
DZ,247626000000.0
AO,84824654482.0
AR,646075000000.0
AM,24085749592.0
AU,1728060000000.0
AT,511685000000.0
AZ,72356176471.0
BH,46079867021.0
BD,437415000000.0
BE,644783000000.0
BO,45135398009.0
BA,27514782476.0
BR,2173670000000.0
BG,102408000000.0
BF,20324617845.0
KH,42335646896.0
CM,49279410983.0
CA,2142470000000.0
CL,335533000000.0
CN,17794800000000.0
CO,363494000000.0
CD,66383287003.0
CG,15321055823.0
CR,86497941439.0
CI,78875489245.0
HR,84393795502.0
CY,33886930712.0
CZ,343208000000.0
DK,407092000000.0
DO,121444000000.0
EC,118845000000.0
EG,396002000000.0
SV,34015620000.0
EE,41291245222.0
ET,163698000000.0
FI,295532000000.0
FR,3051830000000.0
GE,30777833585.0
DE,4525700000000.0
GH,76370396722.0
GR,243498000000.0
GT,104450000000.0
GN,22199409741.0
HN,34400509852.0
HK,380812000000.0
HU,212389000000.0
IN,3567550000000.0
ID,1371170000000.0
IR,404626000000.0
IQ,250843000000.0
IE,551395000000.0
IM,
IL,513611000000.0
IT,2300940000000.0
JO,50967475352.0
KZ,262642000000.0
KE,108039000000.0
KR,1712790000000.0
RS,10468219225.0
KW,163705000000.0
KG,13987627909.0
LV,42247850065.0
LB,
LT,79789877416.0
LU,85755006124.0
MG,15790113247.0
MY,399705000000.0
MX,1789110000000.0
MN,20325121394.0
ME,7530593375.0
MA,144417000000.0
MZ,20954220984.0
MM,66757619000.0
NP,40908073367.0
NL,1154360000000.0
NZ,252176000000.0
NI,17829218219.0
NG,16819170421.0
NG,363846000000.0
MK,15763621848.0
NO,485311000000.0
OM,108811000000.0
PK,337912000000.0
PY,42956263544.0
PE,267603000000.0
PH,437146000000.0
PL,809201000000.0
PT,289114000000.0
PR,117902000000.0
QA,213003000000.0
RO,350776000000.0
RU,2021420000000.0
RW,14097768472.0
SA,1067580000000.0
SN,30848333084.0
RS,81342660752.0
SG,501428000000.0
SK,132908000000.0
SI,69148468417.0
ZA,380699000000.0
ES,1620090000000.0
LK,84356863744.0
SE,584960000000.0
CH,884940000000.0
SY,
TJ,12060602009.0
TZ,79062403821.0
TH,514969000000.0
TG,9171261838.0
TN,48529595417.0
UG,48768955863.0
UA,178757000000.0
AE,514130000000.0
GB,3380850000000.0
US,27720700000000.0
UY,77240830877.0
UZ,101592000000.0
VE,
VN,429717000000.0
US,
YE,
ZM,27577956471.0
ZW,35231367886.0
