"job_application_id","has_embedding","km_cluster","hc_cluster","hdb_cluster"
"a0307d84-c264-40f8-9853-84028301e18c",TRUE,3,1,2
"17d13764-3351-45c7-adb7-1e722724a2fe",TRUE,1,2,2
"e5a03316-259b-4888-b266-b147aa74ab5b",TRUE,5,3,2
"33150168-c435-4a6d-ab62-9226eb4b0f5a",TRUE,5,4,2
"42499370-6090-4681-8877-aee5b21d9ef4",TRUE,5,5,2
"27e8c735-d233-491a-9e8f-f679c8e7c821",TRUE,7,6,2
"8beba46a-a52e-4d97-a179-26bc8b30cba9",TRUE,1,2,2
"caedccd1-5e1a-4dd4-b245-240148f36006",TRUE,1,2,2
"d1053270-4792-4409-ba73-bc0bcf6cc5cc",TRUE,5,4,2
"f025f81b-11a1-4dfb-9063-e4cc69db24a9",TRUE,2,6,2
"8fba0425-8cb4-48f3-a961-e75ad03a14ac",TRUE,4,7,2
"61007ca6-079c-4883-a855-8fda35cc7871",TRUE,1,2,2
"91220145-e5ff-48f9-84a8-d8f38c413138",TRUE,4,3,2
"3c137a83-eff5-4319-a146-d2d64fa39b85",TRUE,5,3,2
"3464e2cf-6a63-41f4-99f9-519df7d82137",TRUE,1,3,2
"172caaed-b939-4ccf-9970-680517c9fc71",TRUE,4,4,2
"4188e78f-2a79-488d-a0a0-182a0bce401d",TRUE,1,2,2
"6eec5aff-ca2c-45c3-ab42-02de73a35530",TRUE,5,3,2
"d3107da1-8da9-40a6-854a-3db927657b3b",TRUE,8,8,2
"381c4887-0419-43e1-bcef-c99d217495d1",TRUE,5,9,2
"e8998f46-6158-45db-99ab-fbbcb9fadae8",TRUE,5,9,2
"797e518c-3cb6-4abb-92ee-43b218f88335",TRUE,5,9,2
"d641807d-c976-4f81-b702-75573ba96d5f",TRUE,3,7,2
"beea0771-7fcd-4694-9b08-cda4e1bab764",TRUE,3,1,2
"c87ae021-7277-4f35-987b-cb7b71c1ed59",TRUE,5,9,2
"72d3538b-cf2b-4486-9fb7-5a7739976e49",TRUE,2,8,2
"201f2eec-e623-4e4a-837b-a20694d77429",TRUE,1,2,2
"c42802ee-1726-4a87-8cab-acf4f809ecbe",TRUE,1,4,2
"63d250d9-0446-4c5e-b0f1-b44dcd9d1010",TRUE,3,1,2
"cb6e2b66-aba0-47a1-be04-0fe39f462403",TRUE,5,9,2
"2d2c64db-b083-4cd2-94d2-771ca2e32d0d",TRUE,1,1,2
"4aacbc1e-f8b9-4f58-a81b-ff193db7b428",TRUE,8,8,2
"32472341-7c06-4db8-b71d-1b616d4b72c1",TRUE,4,5,2
"6de20691-692d-48af-877a-0d52a78a0c86",TRUE,1,4,2
"91278b47-b2d8-4ccd-8053-8e1e271630f0",TRUE,8,8,2
"576c859e-ad32-4462-935e-795992f46d6d",TRUE,1,8,2
"dd5ceee3-a529-4b8d-813a-4cc58e93c69c",TRUE,6,9,2
"794a8ab6-96a7-45cf-a968-c693cc50cc00",TRUE,5,4,2
"07b10840-2014-4bcf-9b2c-daddb30b57be",TRUE,5,6,2
"d7344667-16b8-4c2b-9baa-521b31a2cc7b",TRUE,8,8,2
"a2e5b74c-5200-4a38-9b1c-4bf1ad700180",TRUE,5,9,2
"96b77851-2b27-40be-ad7f-fba2cd51c33f",TRUE,5,9,2
"13b622d9-1ed6-4b37-a707-0313119a61ed",TRUE,4,2,2
"432c0aa7-e563-466d-9bdb-316d7d0c49c3",TRUE,1,2,2
"a7e34477-07dd-4c4e-bda7-406c3be9fab0",TRUE,1,2,2
"bb90fa83-d66f-4be9-b5a2-c3bced7ece8e",TRUE,6,9,2
